type,country,name,id,lat,lon,elev,mft,ref,freq,unit,chan,decl,north,range,kmm
VOR-DME,US,PROVIDENCE,PVD,41.724444444444,-71.429722222222,49,M,MSL,115.600,MHZ,103X,-14.009921883742129,FALSE,none,none
VORTAC,US,PUEBLO,PUB,38.2942536,-104.4294475,1400,M,MSL,116.700,MHZ,114X,7.442,FALSE,none,none
VOR-DME,US,PULLMAN,PUW,46.67424,-117.2235033,840,M,MSL,109.000,MHZ,27X,13.998,FALSE,none,none
VOR-DME,US,PUTNAM,PUT,41.955277777778,-71.843888888889,194,M,MSL,117.400,MHZ,121X,-13.893979533935727,FALSE,none,none
VORTAC,US,RALEIGH/DURHAM,RDU,35.8725211,-78.7833422,130,M,MSL,117.200,MHZ,119X,-9.235,FALSE,none,none
VORTAC,US,RANDOLPH,RND,29.51916,-98.2851,224,M,MSL,112.300,MHZ,70X,3.7493917603207496,FALSE,none,none
VORTAC,US,RANGER,FUZ,32.88945,-97.1794,202,M,MSL,115.700,MHZ,104X,3.146728720514713,FALSE,none,none
VORTAC,US,RAPID CITY,RAP,43.9760383,-103.0123283,960,M,MSL,112.300,MHZ,70X,7.092,FALSE,none,none
VORTAC,US,RATTLESNAKE,RSK,36.7483925,-108.0988989,1800,M,MSL,115.300,MHZ,100X,8.991,FALSE,none,none
VORTAC,US,RAVINE,RAV,40.5533931,-76.5993808,530,M,MSL,114.600,MHZ,93X,-11.302,FALSE,none,none
VORTAC,US,RAZORBACK,RZC,36.2464267,-94.1213906,400,M,MSL,116.400,MHZ,111X,1.144,FALSE,none,none
VORTAC,US,RED BLUFF,RBL,40.0989097,-122.2363503,98,M,MSL,115.700,MHZ,104X,13.707,FALSE,none,none
VOR-DME,US,RED TABLE,DBL,39.4393453,-106.8946803,3600,M,MSL,113.000,MHZ,77X,8.78,FALSE,none,none
VOR-DME,US,REDDING,RDD,40.5045625,-122.2917014,150,M,MSL,108.400,MHZ,21X,13.805,FALSE,none,none
VOR-DME,US,REDWOOD FALLS,RWF,44.4672736,-95.12823,320,M,MSL,113.300,MHZ,80X,1.556,FALSE,none,none
VOR-DME,US,RESERVE,RQR,30.0875,-90.5886,3,M,MSL,110.800,MHZ,45X,-0.8657241474655846,FALSE,none,none
VOR-DME,US,RHINELANDER,RHI,45.633775,-89.4577878,490,M,MSL,109.200,MHZ,29X,-3.117,FALSE,none,none
VORTAC,US,RICH MOUNTAIN,PGO,34.6804647,-94.6090022,810,M,MSL,113.500,MHZ,82X,1.512,FALSE,none,none
VORTAC,US,RICHMOND,RIC,37.5023542,-77.3202683,49,M,MSL,114.100,MHZ,88X,-10.347,FALSE,none,none
VOR-DME,US,RIFLE,RIL,39.5283217,-107.7196575,1700,M,MSL,110.600,MHZ,43X,9.174,FALSE,none,none
VOR,US,RIVERSIDE,RAL,33.9551806,-117.4498278,240,M,MSL,112.400,MHZ,none,11.493,FALSE,none,none
VOR-DME,US,RIVERTON,RIW,43.0657317,-108.4555336,1700,M,MSL,114.050,MHZ,87Y,9.974,FALSE,none,none
VORTAC,US,ROBBINSVILLE,RBV,40.2024022,-74.4950261,77,M,MSL,113.800,MHZ,85X,-12.333,FALSE,none,none
VOR-DME,US,ROBERT,BQZ,40.4637636,-106.8723014,2500,M,MSL,112.200,MHZ,59X,8.888,FALSE,none,none
VOR-DME,US,ROCHESTER,ROC,43.1179594,-77.6727947,170,M,MSL,110.000,MHZ,37X,-11.224,FALSE,none,none
VOR-DME,US,ROCK SPRINGS,OCS,41.5902111,-109.0153286,2100,M,MSL,116.000,MHZ,107X,10.03,FALSE,none,none
VORTAC,US,ROCKET,RQZ,34.7972392,-86.6338467,370,M,MSL,112.200,MHZ,59X,-3.943,FALSE,none,none
VORTAC,US,ROCKSPRINGS,RSG,30.0146,-100.299,706,M,MSL,111.200,MHZ,49X,4.811912400382341,FALSE,none,none
VORTAC,US,ROGUE VALLEY VORTAC,OED,42.479444444444,-122.91277777778,635,M,MSL,113.600,MHZ,83X,14.355823641071677,FALSE,none,none
VOR-DME,US,ROME,REO,42.5905486,-117.8681519,1200,M,MSL,112.500,MHZ,72X,13.315,FALSE,none,none
VORTAC,US,ROME,RMG,34.162565,-85.1194072,350,M,MSL,115.400,MHZ,101X,-4.91,FALSE,none,none
VOR-DME,US,ROSEBURG,RBG,43.1824153,-123.3522419,400,M,MSL,108.200,MHZ,19X,14.575,FALSE,none,none
VOR-DME,US,SABINE PASS,SBI,29.6867197,-94.0379786,1,M,MSL,115.400,MHZ,101X,1.303,FALSE,none,none
VORTAC,US,SACRAMENTO,SAC,38.4437394,-121.5516528,1,M,MSL,115.200,MHZ,99X,13.231,FALSE,none,none
VOR-DME,US,SAGINAW,MBS,43.5316483,-84.0773031,200,M,MSL,112.900,MHZ,76X,-6.994,FALSE,none,none
VORTAC,US,SALINA,SLN,38.9251381,-97.6213322,400,M,MSL,117.100,MHZ,118X,3.451,FALSE,none,none
VORTAC,US,SALINAS,SNS,36.6638364,-121.6031847,25,M,MSL,117.300,MHZ,120X,12.859,FALSE,none,none
VOR-DME,US,SALMON,LKT,45.0213117,-114.0842367,2800,M,MSL,113.500,MHZ,82X,12.638,FALSE,none,none
VORTAC,US,SALT FLAT,SFL,31.7481158,-105.08681,1100,M,MSL,113.000,MHZ,77X,7.158,FALSE,none,none
VORTAC,US,SAN ANGELO,SJT,31.37495,-100.454,573,M,MSL,115.100,MHZ,98X,4.940389601426207,FALSE,none,none
VORTAC,US,SAN ANTONIO,SAT,29.64403,-98.4613,354,M,MSL,116.800,MHZ,115X,3.8452731491294556,FALSE,none,none
VOR-DME,US,SAN FRANCISCO,SFO,37.6194853,-122.3738936,2,M,MSL,115.800,MHZ,105X,13.19,FALSE,none,none
VOR-DME,US,SAN JOSE,SJC,37.3747122,-121.9446686,11,M,MSL,114.100,MHZ,88X,13.068,FALSE,none,none
VORTAC,US,SAN MARCUS,RZS,34.5095336,-119.7709917,1100,M,MSL,114.900,MHZ,96X,12.081,FALSE,none,none
VORTAC,US,SAN SIMON,SSO,32.269245,-109.2630875,1100,M,MSL,115.400,MHZ,101X,8.86,FALSE,none,none
VORTAC,US,SANDHILLS,SDZ,35.2154808,-79.5879369,180,M,MSL,111.800,MHZ,55X,-8.65,FALSE,none,none
VOR-DME,US,SANDY POINT,SEY,41.1674361,-71.5760861,32,M,MSL,117.800,MHZ,125X,-13.827,FALSE,none,none
VORTAC,US,SANTA CATALINA,SXC,33.3750558,-118.4199097,640,M,MSL,111.400,MHZ,51X,11.587,FALSE,none,none
VORTAC,US,SANTA FE,SAF,35.5405411,-106.0649358,1900,M,MSL,110.600,MHZ,43X,7.963,FALSE,none,none
VOR-DME,US,SANTA MONICA,SMO,34.010245,-118.4567156,33,M,MSL,110.800,MHZ,45X,11.72,FALSE,none,none
VOR-DME,US,SARASOTA,SRQ,27.4070156,-82.5636625,6,M,MSL,117.000,MHZ,117X,-5.752,FALSE,none,none
VOR,US,SAUFLEY,NUN,30.4721417,-87.3359,24,M,MSL,108.800,MHZ,none,-3.032,FALSE,none,none
VOR-DME,US,SAULT STE MARIE,SSM,46.4121103,-84.3148717,210,M,MSL,112.200,MHZ,59X,-7.398,FALSE,none,none
VOR-DME,US,SAUSALITO,SAU,37.8553342,-122.5227522,320,M,MSL,116.200,MHZ,109X,13.264,FALSE,none,none
VORTAC,US,SAVANNAH,SAV,32.1462675,-81.1991056,8,M,MSL,115.950,MHZ,106Y,-7.22,FALSE,none,none
VOR-DME,US,SAWYER,SAW,46.3589233,-87.3974219,370,M,MSL,117.100,MHZ,118X,-4.926,FALSE,none,none
VORTAC,US,SCAGGS ISLAND,SGD,38.1793622,-122.3731525,2,M,MSL,112.100,MHZ,58X,13.311,FALSE,none,none
VOR-DME,US,SCHOLES,VUH,29.26933,-94.8677,4,M,MSL,113.000,MHZ,77X,1.8233063027547904,FALSE,none,none
VORTAC,US,SCOTTSBLUFF,BFF,41.8941631,-103.4820317,1300,M,MSL,112.600,MHZ,73X,7.222,FALSE,none,none
VORTAC,US,SEA ISLE,SIE,39.0955089,-74.8003439,3,M,MSL,114.800,MHZ,95X,-11.972,FALSE,none,none
VORTAC,US,SEAL BEACH,SLI,33.7833011,-118.0547583,6,M,MSL,115.700,MHZ,104X,11.591,FALSE,none,none
VORTAC,US,SEATTLE,SEA,47.4353731,-122.3096161,110,M,MSL,116.800,MHZ,115X,15.384,FALSE,none,none
VOR-DME,US,SELINSGROVE,SEG,40.7908592,-76.8840417,190,M,MSL,110.400,MHZ,41X,-11.19,FALSE,none,none
VORTAC,US,SEMINOLE,SZW,30.5562272,-84.3739422,54,M,MSL,117.500,MHZ,122X,-4.984,FALSE,none,none
VORTAC,US,SEMMES,SJI,30.72598,-88.3592939,61,M,MSL,115.300,MHZ,100X,-2.381,FALSE,none,none
VORTAC,US,SHAFTER,EHF,35.4845544,-119.0972936,170,M,MSL,115.400,MHZ,101X,12.148,FALSE,none,none
VOR-DME,US,SHELBYVILLE,SHB,39.6325425,-85.8243164,250,M,MSL,112.000,MHZ,57X,-5.091,FALSE,none,none
VOR-DME,US,SHELBYVILLE,SYI,35.5619767,-86.4391528,250,M,MSL,113.550,MHZ,82Y,-4.161,FALSE,none,none
VOR-DME,US,SHERIDAN,SHR,44.8423,-107.0611003,1300,M,MSL,115.300,MHZ,100X,9.5,FALSE,none,none
VOR-DME,US,SIDNEY,SNY,41.0966825,-102.9829928,1300,M,MSL,115.900,MHZ,106X,6.874,FALSE,none,none
VORTAC,US,SIDON,SQS,33.4638494,-90.2773506,39,M,MSL,114.700,MHZ,94X,-1.32,FALSE,none,none
VOR-DME,US,SILVER CITY,SVC,32.6376853,-108.1610672,1600,M,MSL,110.800,MHZ,45X,8.502,FALSE,none,none
VORTAC,US,SIOUX FALLS,FSD,43.6494836,-96.7811167,480,M,MSL,115.000,MHZ,97X,2.835,FALSE,none,none
VORTAC,US,SMYRNA,ENO,39.2316467,-75.51597,4,M,MSL,111.400,MHZ,51X,-11.632,FALSE,none,none
VORTAC,US,SNOWBIRD,SOT,35.7900992,-83.0523692,1300,M,MSL,108.800,MHZ,25X,-6.51,FALSE,none,none
VORTAC,US,SOCORRO,ONM,34.3389,-106.8204694,1500,M,MSL,116.800,MHZ,115X,8.163,FALSE,none,none
VORTAC,US,SOD HOUSE,SDO,41.4070556,-118.0347222,1300,M,MSL,111.450,MHZ,51Y,13.114,FALSE,none,none
VOR-DME,US,SOLBERG,SBJ,40.5830442,-74.7417914,57,M,MSL,112.900,MHZ,76X,-12.286,FALSE,none,none
VORTAC,US,SOUTH BOSTON,SBV,36.6750386,-79.0144992,160,M,MSL,110.400,MHZ,41X,-9.221,FALSE,none,none
VORTAC,US,SPARTA,SAX,41.0675414,-74.5383081,430,M,MSL,115.700,MHZ,104X,-12.485,FALSE,none,none
VORTAC,US,SPARTANBURG,SPA,35.0336258,-81.92701,280,M,MSL,115.700,MHZ,104X,-7.148,FALSE,none,none
VOR-DME,US,SPENCER,SPW,43.1621786,-95.2009911,410,M,MSL,110.000,MHZ,37X,1.671,FALSE,none,none
VORTAC,US,SPINNER,SPI,39.8397331,-89.6777358,180,M,MSL,112.700,MHZ,74X,-2.262,FALSE,none,none
VORTAC,US,SPOKANE,GEG,47.5649458,-117.6268858,840,M,MSL,115.500,MHZ,102X,14.309,FALSE,none,none
VORTAC,US,SPRINGFIELD,SGF,37.3559483,-93.3340411,380,M,MSL,116.900,MHZ,116X,0.561,FALSE,none,none
VOR-DME,US,SQUAW VALLEY,SWR,39.1803228,-120.2696122,2700,M,MSL,113.200,MHZ,79X,13.149,FALSE,none,none
VORTAC,US,ST JOHNS,SJN,34.4240417,-109.1435306,2100,M,MSL,112.300,MHZ,70X,9.103,FALSE,none,none
VORTAC,US,ST JOSEPH,STJ,39.9605775,-94.9252203,350,M,MSL,115.500,MHZ,102X,1.586,FALSE,none,none
VORTAC,US,ST PETERSBURG,PIE,27.9077644,-82.6843092,2,M,MSL,116.400,MHZ,111X,-5.74,FALSE,none,none
VORTAC,US,STANFIELD,TFD,32.8858544,-111.9087344,400,M,MSL,114.800,MHZ,95X,9.83,FALSE,none,none
VOR-DME,US,STILLWATER,SWO,36.2242481,-97.0812583,310,M,MSL,108.400,MHZ,21X,3.088,FALSE,none,none
VORTAC,US,STINSON,SSF,29.25837,-98.4434,168,M,MSL,108.400,MHZ,21X,3.831506006083081,FALSE,none,none
VORTAC,US,STONEWALL,STV,30.20675,-98.7057,467,M,MSL,113.800,MHZ,85X,3.9842433226176723,FALSE,none,none
VOR-DME,US,SUNSHINE,SHY,38.0406169,-92.6024119,280,M,MSL,108.400,MHZ,21X,0.011,FALSE,none,none
VORTAC,US,SYRACUSE,SYR,43.1605189,-76.2045586,130,M,MSL,117.000,MHZ,117X,-12.071,FALSE,none,none
VORTAC,US,TAOS,TAS,36.6087689,-105.9063203,2400,M,MSL,117.600,MHZ,123X,8.003,FALSE,none,none
VORTAC,US,TAR RIVER,TYI,35.9767236,-77.7037317,22,M,MSL,117.800,MHZ,125X,-9.882,FALSE,none,none
VORTAC,US,TATOOSH,TOU,48.2998992,-124.6270433,490,M,MSL,112.200,MHZ,59X,15.963,FALSE,none,none
VOR-DME,US,TEMPLE,TPL,31.20933,-97.4249,218,M,MSL,110.400,MHZ,41X,3.2835502834876933,FALSE,none,none
VORTAC,US,TEXARKANA,TXK,33.5138811,-94.0732422,84,M,MSL,116.300,MHZ,110X,1.197,FALSE,none,none
VORTAC,US,TEXICO,TXO,34.4951267,-102.8396633,1200,M,MSL,112.200,MHZ,59X,6.324,FALSE,none,none
VORTAC,US,THERMAL,TRM,33.626666666667,-116.15972222222,-39,M,MSL,116.200,MHZ,109X,11.140789615381895,FALSE,100,NM
VOR-DME,US,THIEF RIVER FALLS,TVF,48.0693128,-96.1864744,340,M,MSL,108.400,MHZ,21X,2.2,FALSE,none,none
VORTAC,US,THREE RIVERS,THX,28.50499,-98.1504,82,M,MSL,111.400,MHZ,51X,3.6705733806145115,FALSE,none,none
VORTAC,US,THURMAN,TXC,39.6983175,-103.2149386,1500,M,MSL,112.900,MHZ,76X,6.904,FALSE,none,none
VORTAC,US,TIBBY,TBD,29.66432,-90.829,5,M,MSL,112.000,MHZ,57X,-0.6821522065049476,FALSE,none,none
VOR-DME,US,TOADSTOOL,TST,42.5587714,-103.3121464,1400,M,MSL,113.400,MHZ,81X,7.173,FALSE,none,none
VOR-DME,US,TOBE,TBE,37.2586575,-103.6000558,1700,M,MSL,114.050,MHZ,87Y,6.924,FALSE,none,none
VORTAC,US,TONOPAH,TPH,38.0306442,-117.0335036,1600,M,MSL,116.000,MHZ,107X,12.187,FALSE,none,none
VORTAC,US,TOPEKA,TOP,39.1370778,-95.5491692,330,M,MSL,117.800,MHZ,125X,2.046,FALSE,none,none
VOR-DME,US,TRAVERSE CITY,TVC,44.6679158,-85.5500111,280,M,MSL,114.600,MHZ,93X,-6.086,FALSE,none,none
VOR-DME,US,TRINITY,MHF,29.54634,-94.7475,3,M,MSL,113.600,MHZ,83X,1.7440471524116885,FALSE,none,none
VORTAC,US,TRUTH OR CONSEQUENCES,TCS,33.2825022,-107.2805461,1500,M,MSL,112.700,MHZ,74X,8.233,FALSE,none,none
VORTAC,US,TUBA CITY,TBC,36.1213119,-111.2695878,1500,M,MSL,113.500,MHZ,82X,10.121,FALSE,none,none
VORTAC,US,TUCSON,TUS,32.0952028,-110.914855,810,M,MSL,116.000,MHZ,107X,9.395,FALSE,none,none
VORTAC,US,TUCUMCARI,TCC,35.1822058,-103.5985808,1200,M,MSL,113.600,MHZ,83X,6.758,FALSE,none,none
VOR-DME,US,TULE,TTE,35.9130511,-119.0208094,180,M,MSL,109.200,MHZ,29X,12.219,FALSE,none,none
VORTAC,US,TULSA,TUL,36.1962536,-95.7880903,240,M,MSL,114.400,MHZ,91X,2.254,FALSE,none,none
VOR-DME,US,TUPELO,OTB,34.2238317,-88.7973586,110,M,MSL,109.800,MHZ,35X,-2.392,FALSE,none,none
VOR-DME,US,TUSCOLA,TQA,32.23574,-99.8167,612,M,MSL,111.600,MHZ,53X,4.633381669400106,FALSE,none,none
VORTAC,US,TWENTYNINE PALMS,TNP,34.1122344,-115.769905,420,M,MSL,114.200,MHZ,89X,11.124,FALSE,none,none
VORTAC,US,TWIN FALLS,TWF,42.4798567,-114.4894539,1300,M,MSL,113.100,MHZ,78X,12.3,FALSE,none,none
VOR-DME,US,TYLER,TYR,32.3558669,-95.4034658,160,M,MSL,114.200,MHZ,89X,2.064,FALSE,none,none
VOR-DME,US,VALDOSTA,OTK,30.7804442,-83.2797289,61,M,MSL,114.800,MHZ,95X,-5.72,FALSE,none,none
VOR-DME,US,VAN NUYS,VNY,34.2234586,-118.4916744,250,M,MSL,113.100,MHZ,78X,11.77,FALSE,none,none
VOR-DME,US,VENTURA,VTU,34.1150647,-119.0494986,480,M,MSL,108.200,MHZ,19X,11.862,FALSE,none,none
VOR-DME,US,VERNAL,VEL,40.3788825,-109.4932842,1600,M,MSL,108.200,MHZ,19X,10.068,FALSE,none,none
VOR-DME,US,VICHY,VIH,38.1540719,-91.7067719,340,M,MSL,117.700,MHZ,124X,-0.637,FALSE,none,none
VOR-DME,US,VICTORIA,VCT,28.9003183,-96.9789347,38,M,MSL,109.000,MHZ,27X,3.024,FALSE,none,none
VOR-DME,US,VICTORY,VIO,42.7867172,-85.4970728,240,M,MSL,115.950,MHZ,106Y,-5.8,FALSE,none,none
VORTAC,US,VIENNA,VNA,32.2134428,-83.4972564,89,M,MSL,116.500,MHZ,112X,-5.756,FALSE,none,none
VOR-DME,US,VIRGINIA KEY,VKZ,25.7519017,-80.1544433,3,M,MSL,117.100,MHZ,118X,-7.012,FALSE,none,none
VORTAC,US,VOLUNTEER,VXV,35.9048364,-83.8947203,400,M,MSL,116.400,MHZ,111X,-5.957,FALSE,none,none
VORTAC,US,VULCAN,VUZ,33.6701322,-86.8998372,230,M,MSL,114.400,MHZ,91X,-3.643,FALSE,none,none
VORTAC,US,WACO,ACT,31.66232,-97.269,156,M,MSL,115.300,MHZ,100X,3.19535147184161,FALSE,none,none
VOR-DME,US,WALLA WALLA,ALW,46.0869767,-118.2925353,350,M,MSL,116.400,MHZ,111X,14.17,FALSE,none,none
VORTAC,US,WALNUT RIDGE,ARG,36.11002,-90.9536933,79,M,MSL,114.500,MHZ,92X,-1.037,FALSE,none,none
VORTAC,US,WASATCH,TCH,40.8502592,-111.9819056,1300,M,MSL,116.800,MHZ,115X,11.132,FALSE,none,none
VOR-DME,US,WASHINGTON,DCA,38.8594528,-77.0364361,3,M,MSL,111.000,MHZ,47X,-10.742,FALSE,none,none
VOR-DME,US,WATERLOO,ALO,42.5564967,-92.3989239,260,M,MSL,112.200,MHZ,59X,-0.431,FALSE,none,none
VOR-DME,US,WATERLOO,ATR,38.8098103,-75.2113225,1,M,MSL,112.600,MHZ,73X,-11.712,FALSE,none,none
VORTAC,US,WATERTOWN,ART,43.9521317,-76.0646269,110,M,MSL,109.800,MHZ,35X,-12.333,FALSE,none,none
VORTAC,US,WAYCROSS,AYS,31.2694253,-82.5564456,49,M,MSL,110.200,MHZ,39X,-6.246,FALSE,none,none
VOR-DME,US,WELLS,LWL,41.1448017,-114.9775114,1800,M,MSL,114.200,MHZ,89X,12.207,FALSE,none,none
VOR-DME,US,WENATCHEE,EAT,47.39969,-120.21,372,M,MSL,111.000,MHZ,47X,14.952514208841992,FALSE,none,none
VOR,US,WEST BEND,BJB,43.4219808,-88.1251881,270,M,MSL,109.800,MHZ,none,-3.87,FALSE,none,none
VORTAC,US,WESTMINSTER,EMI,39.4950075,-76.9785719,250,M,MSL,117.900,MHZ,126X,-10.89,FALSE,none,none
VOR-DME,US,WHEELING,HLG,40.2599019,-80.5686247,390,M,MSL,112.200,MHZ,59X,-8.846,FALSE,none,none
VOR-DME,US,WHITE LAKE,LLA,29.6632253,-92.3736425,1,M,MSL,110.400,MHZ,41X,0.281,FALSE,none,none
VOR-DME,US,WHITEHALL,HIA,45.8617875,-112.1696086,1400,M,MSL,113.700,MHZ,84X,12.056,FALSE,none,none
VORTAC,US,WICHITA FALLS,SPS,33.9872875,-98.5934719,330,M,MSL,112.700,MHZ,74X,3.982,FALSE,none,none
VOR-DME,US,WILDHORSE,ILR,43.5931297,-118.95505,1300,M,MSL,114.550,MHZ,92Y,13.798,FALSE,none,none
VOR-DME,US,WILEY POST,PWA,35.5329431,-97.6471772,390,M,MSL,113.400,MHZ,81X,3.437,FALSE,none,none
VORTAC,US,WILL ROGERS,IRW,35.3585969,-97.6092267,380,M,MSL,114.100,MHZ,88X,3.412,FALSE,none,none
VORTAC,US,WILLIAMS,ILA,39.0711736,-122.0272697,16,M,MSL,114.400,MHZ,91X,13.447,FALSE,none,none
VORTAC,US,WILLIE,IWA,33.3031694,-111.6514353,420,M,MSL,113.300,MHZ,80X,9.812,FALSE,none,none
VOR-DME,US,WILLISTON,ISN,48.2534167,-103.7506667,720,M,MSL,116.300,MHZ,110X,7.862,FALSE,none,none
VORTAC,US,WILMINGTON,ILM,34.3516483,-77.8743803,8,M,MSL,117.000,MHZ,117X,-9.536,FALSE,none,none
VORTAC,US,WILSON CREEK,ILC,38.2501928,-114.3942264,2800,M,MSL,116.300,MHZ,110X,11.496,FALSE,none,none
VORTAC,US,WINK,INK,31.8747633,-103.2437772,870,M,MSL,112.100,MHZ,58X,6.336,FALSE,none,none
VORTAC,US,WINSLOW,INW,35.0615997,-110.7950197,1500,M,MSL,112.600,MHZ,73X,9.793,FALSE,none,none
VORTAC,US,WIREGRASS,RRS,31.2845872,-85.4312097,110,M,MSL,111.600,MHZ,53X,-4.375,FALSE,none,none
VOR-DME,US,WOODRING,ODG,36.3737689,-97.7881203,350,M,MSL,109.000,MHZ,27X,3.534,FALSE,none,none
VOR-DME,US,WOODSIDE,OSI,37.3925,-122.2813028,660,M,MSL,113.900,MHZ,86X,13.125,FALSE,none,none
VOR-DME,US,WORLAND,RLY,43.9641383,-107.95084,1300,M,MSL,114.800,MHZ,95X,9.846,FALSE,none,none
VORTAC,US,YAKIMA,YKM,46.5702422,-120.4446367,300,M,MSL,116.000,MHZ,107X,14.803,FALSE,none,none
VOR-DME,US,YARDLEY,ARD,40.2533425,-74.9076125,89,M,MSL,108.200,MHZ,19X,-12.137,FALSE,none,none
VOR,US,YELLOW BUD,XUB,39.5268839,-82.9779408,210,M,MSL,112.500,MHZ,none,-7.102,FALSE,none,none
VORTAC,US,ZUNI,ZUN,34.9657533,-109.1545094,2000,M,MSL,113.400,MHZ,81X,9.179,FALSE,none,none
VORTAC,US,ATLANTA,ATL,33.629101,-84.435097,301,M,MSL,116.900,MHZ,116X,-5.435,FALSE,100,NM
VORTAC,US,ARMEL VORTAC,AML,38.93459638888889,-77.46669527777777,89,M,MSL,113.500,MHZ,82X,-10.508,FALSE,43,NM
VORTAC,US,CASANOVA,CSN,38.64123055555555,-77.86552222222222,135,M,MSL,116.300,MHZ,110X,-10.237,FALSE,100,NM
VORTAC,US,LINDEN,LDN,38.854391666666665,-78.20555583333334,742,M,MSL,114.300,MHZ,90X,-10.077,FALSE,40,NM
VOR-DME,US,DETROIT,DXO,42.21314698151156,-83.36665214872242,191,M,MSL,113.400,MHZ,81X,-7,FALSE,none,none
VORTAC,US,SALEM,SVM,42.408662,-83.59393333333333,283,M,MSL,114.300,MHZ,90X,-7,FALSE,none,none
DVOR-DME,ES,ALBACETE,VAB,38.947222222222,-1.8591666666667,690,M,MSL,115.800,MHZ,105X,0.5033368124285529,FALSE,none,none
VOR-DME,ES,ALICANTE,ATE,38.286111111111,-0.58666666666667,60,M,MSL,114.650,MHZ,93Y,0.8260983305098429,FALSE,none,none
VOR-DME,ES,ALMERÍA,AMR,36.833055555556,-2.2594444444444,60,M,MSL,114.100,MHZ,88X,0.39234624557010545,FALSE,60,NM
VOR-DME,ES,ALTET,ALT,38.268333333333,-0.57,60,M,MSL,113.800,MHZ,85X,0.8300925867868145,FALSE,60,NM
DVOR-DME,ES,ASTURIAS,VES,43.556944444444,-6.0072222222222,120,M,MSL,112.400,MHZ,71X,-0.8590710342459013,FALSE,none,none
DVOR-DME,ES,BADAJOZ,VBZ,38.889722222222,-6.8158333333333,180,M,MSL,116.800,MHZ,115X,-0.9052788917572475,FALSE,none,none
DVOR-DME,ES,BAGUR,BGR,41.9475,3.2086111111111,306,M,MSL,112.200,MHZ,59X,1.7480127189760886,FALSE,none,none
VOR-DME,ES,BAILEN,BLN,38.1525,-3.625,540,M,MSL,116.200,MHZ,109X,0.03335390381335368,FALSE,none,none
DVOR-DME,ES,BARAHONA,BAN,41.323611111111,-2.6297222222222,1140,M,MSL,112.800,MHZ,75X,0.2578823891069638,FALSE,none,none
DVOR-DME,ES,BARAJAS,BRA,40.4691,-3.55754,594,M,MSL,116.450,MHZ,111Y,0.01841559178440479,FALSE,none,none
DVOR-DME,ES,BARCELONA,BCN,41.307222222222,2.1077777777778,1,M,MSL,116.700,MHZ,114X,1.4870840386662751,FALSE,none,none
DVOR-DME,ES,BILBAO,BLV,43.304444444444,-2.9358333333333,30,M,MSL,115.900,MHZ,106X,0.09718683675528009,FALSE,40,NM
VOR-DME,ES,BURGOS,BUR,42.355,-3.6136111111111,900,M,MSL,111.400,MHZ,51X,-0.059966743530643116,FALSE,none,none
DVOR-DME,ES,CACERES,CCS,39.524444444444,-6.4347222222222,420,M,MSL,114.200,MHZ,89X,-0.8047799961616989,FALSE,none,none
VOR-DME,ES,CALAMOCHA,CMA,40.867222222222,-1.2980555555556,960,M,MSL,116.000,MHZ,107X,0.6314383640384549,FALSE,none,none
DVOR-DME,ES,CALELLA,CLE,41.64,2.6344444444444,407,M,MSL,115.350,MHZ,100Y,1.612386784186018,FALSE,none,none
DVOR-DME,ES,CALLES,CLS,39.707222222222,-0.98638888888889,570,M,MSL,117.550,MHZ,122Y,0.7259913800568385,FALSE,none,none
DVOR-DME,ES,CAPDEPERA,CDP,39.6975,3.4341666666667,240,M,MSL,112.900,MHZ,76X,1.7779805352709344,FALSE,none,none
DVOR-DME,ES,CASTEJON,CJN,40.372,-2.54461,1080,M,MSL,115.600,MHZ,103X,0.30343170280332304,FALSE,none,none
DVOR-DME,ES,CASTELLON,CTN,40.218888888889,0.089166666666667,360,M,MSL,117.050,MHZ,117Y,0.9962849788173386,FALSE,50,NM
DME,ES,CEUTA,CEU,35.8925,-5.3052777777778,1,M,MSL,117.750,MHZ,124Y,-0.43859848711905103,FALSE,none,none
DVOR-DME,ES,DOMINGO,DGO,42.453333333333,-2.8805555555556,660,M,MSL,112.600,MHZ,73X,0.14943565471079728,FALSE,none,none
DME,ES,EL HIERRO,HR,27.816111111111,-17.886388888889,19,M,MSL,113.200,MHZ,79X,-4.907070786144997,FALSE,10,NM
DVOR-DME,ES,EL PRAT,PRA,41.283055555556,2.0819444444444,2,M,MSL,114.300,MHZ,90X,1.4809217380613782,FALSE,none,none
DVOR-DME,ES,FUERTEVENTURA,FTV,28.430833333333,-13.864444444444,5,M,MSL,114.100,MHZ,88X,-3.396379840606287,FALSE,40,NM
DVOR-DME,ES,GERONA,GIR,41.931111111111,2.7719444444444,157,M,MSL,114.100,MHZ,88X,1.6449152200428079,FALSE,none,none
VORTAC,ES,GETAFE,VGE,40.289166666667,-3.7272222222222,618,M,MSL,112.050,MHZ,57Y,-0.025516797013529158,FALSE,none,none
DVOR-DME,ES,GRAN CANARIA,GDV,28.076944444444,-15.428888888889,214,M,MSL,112.900,MHZ,76X,-3.9793533854911876,FALSE,none,none
DVOR-DME,ES,GRAN CANARIA SUR,LPC,27.828611111111,-15.432222222222,39,M,MSL,115.000,MHZ,97X,-3.9978118103435034,FALSE,80,NM
